id_krs,id_mahasiswa,kode_mk,semester_akademik,nilai_angka,nilai_huruf
1,2019026087.0,MK111,2022/2023 Genap,69.36392657315865,C
2,2023025962.0,MK092,2023/2024 Ganjil,77.74819554649245,B
3,2023007346.0,MK122,2023/2024 Ganjil,77.78128057511687,B
4,2023033521.0,MK065,202/2023 Ganjil,70.80647910629799,C
5,2019017940.0,MK116,2023/2024 Ganjil,93.70572381501786,A
6,2019032118.0,MK149,2023/2024 Ganjil,85.91829795322724,A
7,2020029563.0,MK127,2022/2023 Genap,65.89579498031719,C
8,2023010028.0,MK067,2022/2023 Genap,86.90602273205387,A
9,2020000536.0,MK094,2022/2023 Genap,77.76681616432988,B
10,2020039860.0,MK129,2022/2023 Genap,68.00719555549486,C
11,,MK059,2022/2023 Genap,90.09159238590435,A
12,2022021796.0,MK115,202/2023 Ganjil,78.1418753664094,B
13,2023008016.0,MK116,2023/2024 Ganjil,92.63251476266565,A
14,2021001097.0,MK047,2022/2023 Genap,72.26069049793799,C
15,2023008788.0,MK109,2022/2023 Genap,73.61873155561946,C
16,2024017951.0,MK018,2023/2024 Ganjil,76.5863258672176,B
17,2019033576.0,MK113,202/2023 Ganjil,5.072712035120124,E
18,2020003021.0,MK033,2023/2024 Ganjil,75.96586579871041,B
19,2020039256.0,MK143,2022/2023 Genap,81.081647163433,B
20,2025010756.0,MK024,202/2023 Ganjil,95.29424538577089,A
21,2021010843.0,MK036,202/2023 Ganjil,77.694151752706,B
22,2025026861.0,MK060,202/2023 Ganjil,84.94841177451153,B
23,2021028576.0,MK090,2023/2024 Ganjil,68.05123286949679,C
24,2023030268.0,MK051,2023/2024 Ganjil,64.81680714469918,D
25,2022040192.0,MK150,2023/2024 Ganjil,70.63728314112767,C
26,2025031993.0,MK144,2021/2022 Genap,87.63056896119039,A
27,2019027050.0,MK104,202/2023 Ganjil,67.8091559312211,C
28,2022033983.0,MK016,2022/2023 Genap,90.51010368773026,A
29,2021007862.0,MK133,202/2023 Ganjil,66.29512104258109,C
30,2025023465.0,MK134,202/2023 Ganjil,81.27914982214749,B
31,2019040426.0,MK030,,79.50034197349702,B
32,2020041437.0,MK147,202/2023 Ganjil,66.81108792349583,C
33,2021035303.0,MK051,202/2023 Ganjil,74.20908438285441,C
34,2022000873.0,MK072,202/2023 Ganjil,75.81303988730929,B
35,2024026106.0,MK128,202/2023 Ganjil,72.71439914510692,C
36,2020040727.0,MK107,2023/2024 Ganjil,66.11627092755015,C
37,2024031676.0,MK127,2023/2024 Ganjil,85.60836836031218,A
38,2019007391.0,MK129,2022/2023 Genap,65.23024545756076,C
39,2023034495.0,MK150,202/2023 Ganjil,68.96772744074237,C
40,2025029314.0,MK094,2022/2023 Genap,73.82726028644177,C
41,2025026862.0,MK058,2023/2024 Ganjil,79.27324678320828,B
42,2019002058.0,MK013,2022/2023 Genap,84.66443551775407,B
43,,MK027,2022/2023 Genap,72.36160187555545,C
44,2021029241.0,MK121,202/2023 Ganjil,68.90607673555442,C
45,2021013057.0,MK140,2022/2023 Genap,69.6610706208095,C
46,2019033671.0,MK018,2022/2023 Genap,79.56819120235478,B
47,2019010512.0,MK119,,68.47809518094525,C
48,2022016652.0,MK015,2023/2024 Ganjil,74.48498576060976,C
49,2024001016.0,MK144,202/2023 Ganjil,70.47391791965886,C
50,2025033650.0,MK097,202/2023 Ganjil,62.13587844542414,D
51,2022024521.0,MK074,202/2023 Ganjil,74.77667999208121,C
52,2019001246.0,MK047,202/2023 Ganjil,,E
53,2021033139.0,MK019,2023/2024 Ganjil,82.46025729802051,B
54,2022017142.0,MK091,202/2023 Ganjil,80.0893168225959,B
55,2020016876.0,MK031,2022/2023 Genap,73.01547892116095,C
56,2019040562.0,MK016,2023/2024 Ganjil,75.50893166658093,B
