id_mahasiswa,kampus,prodi,angkatan,status,jalur_masuk,jenjang,jenis_kelamin,ipk
2019000055,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Mandiri,D3,L,3.1256683923173374
2019000142,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Mandiri,S1,P,2.5784842891803166
2019000421,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S1,P,2.9645346773575163
2019000433,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Mandiri,S2,L,3.365390648707251
2019000528,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Mandiri,S1,P,3.0204148883077986
2019000768,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Transfer,S1,P,2.927019285898935
2019000969,Universitas Islam Indonesia,Akuntansi,2019,LULUS,,D3,P,3.4795941648328976
2019001004,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Mandiri,,,3.3463426134249086
2019001121,Universitas Islam Indonesia,Akuntansi,2019,,Mandiri,S1,L,3.5027350705589635
2019001246,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,,S1,L,3.0021482760470612
2019001491,,Akuntansi,2019,AKTIF,Mandiri,S1,P,3.348900762729356
2019001493,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S1,P,3.36905227969839
2019001730,Universitas Islam Indonesia,Akuntansi,2019,,Transfer,D4,P,3.2079879700812963
2019002022,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Transfer,S1,L,2.996060553044774
2019002090,Universitas Islam Indonesia,Akuntansi,2019,DO,Alih Jenjang,S1,L,3.0886107971265484
2019002093,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S1,L,3.120917287449308
2019002231,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S1,,3.4529147126171997
2019003033,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S1,L,2.9838581611750548
2019003121,Universitas Islam Indonesia, Akuntansi ,2019,AKTIF,Transfer,S1,P,3.306098071985777
2019003424,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Transfer,S1,P,3.1800656499622995
2019003546,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Transfer,S1,L,3.241595705143151
2019003591,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Alih Jenjang,D3,P,3.317011898663529
2019003658,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S3,P,3.381673383283344
2019003785,Universitas Islam Indonesia,Akuntansi,2019,CUTI,Mandiri,S2,L,3.1255485675283095
2019003927,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Transfer,S1,L,3.611076502038502
2019004167,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Beasiswa,S1,L,3.250029594097864
2019004701,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S1,P,3.7468419197119607
2019005146,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,S1,P,3.2721998947560325
2019005183,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,,L,3.0136326353144236
2019005299,,Akuntansi,2019,AKTIF,Transfer,S1,L,3.522364857781513
2019005320,Universitas Islam Indonesia,Akuntansi,2019,LULUS,,S1,P,3.290101127145307
2019005459,Universitas Islam Indonesia,Akuntansi,2019,,Mandiri,S1,L,3.4586870755521626
2019005920,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Beasiswa,S1,P,3.1070656231923595
2019006415,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Mandiri,,L,3.5240500509926154
2019006544,Universitas Islam Indonesia,Akuntansi,2019,LULUS,Transfer,S1,L,2.990191675853839
2019006740,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Alih Jenjang,S1,P,
2019006837,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Transfer,S1,P,3.2178972976085998
2019007892,Universitas Islam Indonesia,,2019,AKTIF,Mandiri,S1,P,3.2647759619208623
2019008045,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Mandiri,D3,L,3.4377654689993937
2019008098,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Beasiswa,S1,P,3.0347390289602143
2019008299,Universitas Islam Indonesia,Akuntansi,2019,DO,,S1,L,3.2642718876863763
2019008398,Universitas Islam Indonesia,Akuntansi,2019,AKTIF,Alih Jenjang,S1,P,3.238669830053762
2019008444,,Akuntansi,2019,AKTIF,Transfer,S1,L,3.368338826129018
